Bin	Num
0	9980
1	10080
2	9858
3	9957
4	10033
5	10017
6	10146
7	9967
8	9908
9	9942
10	10105
11	10098
12	9945
13	9948
14	10035
15	10173
16	10146
17	10066
18	9941
19	9890
20	10033
21	10081
22	9813
23	9999
24	9975
25	10005
26	10080
27	9861
28	9917
29	9944
30	9947
31	9991
32	10069
33	9987
34	10066
35	9963
36	10013
37	10017
38	10043
39	10161
40	9885
41	9985
42	10108
43	9927
44	10088
45	10066
46	10045
47	9970
48	10068
49	10014
50	9970
51	9802
52	10061
53	9963
54	9948
55	9960
56	9889
57	10033
58	9998
59	10151
60	9883
61	10074
62	9833
63	9919
64	9880
65	10003
66	9960
67	9993
68	10208
69	9974
70	10098
71	9976
72	10081
73	9827
74	10143
75	10141
76	9874
77	9914
78	10086
79	9902
80	9838
81	10014
82	10132
83	9951
84	9860
85	9967
86	9991
87	10048
88	9859
89	9933
90	9923
91	10014
92	10095
93	9975
94	10080
95	10124
96	10125
97	10112
98	9916
99	10143
