Bin	Num
0	98
1	96
2	93
3	97
4	104
5	94
6	98
7	97
8	100
9	85
10	102
11	108
12	120
13	98
14	105
15	92
16	96
17	97
18	102
19	100
20	108
21	112
22	109
23	97
24	131
25	107
26	109
27	100
28	90
29	90
30	92
31	107
32	102
33	109
34	101
35	92
36	101
37	87
38	84
39	105
40	96
41	106
42	101
43	101
44	112
45	114
46	101
47	95
48	92
49	109
50	86
51	95
52	103
53	102
54	107
55	99
56	97
57	102
58	102
59	100
60	79
61	79
62	103
63	98
64	82
65	114
66	94
67	100
68	105
69	97
70	95
71	111
72	107
73	116
74	109
75	91
76	112
77	117
78	95
79	95
80	78
81	120
82	88
83	94
84	87
85	106
86	90
87	97
88	103
89	92
90	98
91	98
92	112
93	102
94	94
95	114
96	100
97	112
98	88
99	93
